phase,env_steps,env_steps_per_second,train_updates_per_second,samples_per_second,total_train_step_time,component_seconds,latest_update_seconds,latest_sample_seconds
warmup_unmeasured,5888,3617.337984339655,0.0,0.0,0.03538513695821166,,,
warmup_unmeasured,6016,3551.4478312398264,0.0,0.0,0.03604163881391287,,,
warmup_unmeasured,6144,3770.580525730581,0.0,0.0,0.033947027288377285,,,
warmup_unmeasured,6272,3647.2214502836464,0.0,0.0,0.03509520925581455,,,
warmup_unmeasured,6400,3779.72852333182,0.0,0.0,0.03386486601084471,,,
warmup_unmeasured,6528,3824.6262886593277,0.0,0.0,0.03346732212230563,,,
warmup_unmeasured,6656,3780.014970612456,0.0,0.0,0.033862299751490355,,,
warmup_unmeasured,6784,3780.6116022610618,0.0,0.0,0.03385695582255721,,,
warmup_unmeasured,6912,3390.7899082623244,0.0,0.0,0.037749316077679396,,,
warmup_unmeasured,7040,3519.3587515645536,0.0,0.0,0.036370262037962675,,,
warmup_unmeasured,7168,3789.2447977338024,0.0,0.0,0.03377981809899211,,,
warmup_unmeasured,7296,3814.3378418942707,0.0,0.0,0.03355759382247925,,,
warmup_unmeasured,7424,3831.5840253064894,0.0,0.0,0.033406549133360386,,,
warmup_unmeasured,7552,3823.0676034570265,0.0,0.0,0.03348096692934632,,,
warmup_unmeasured,7680,3764.8818187366533,0.0,0.0,0.033998411148786545,,,
warmup_unmeasured,7808,3792.2526032512715,0.0,0.0,0.03375302581116557,,,
warmup_unmeasured,7936,3352.596357863212,0.0,0.0,0.0381793649867177,,,
warmup_unmeasured,8064,3823.3523082823817,0.0,0.0,0.03347847377881408,,,
warmup_unmeasured,8192,3821.220817393271,0.0,0.0,0.03349714819341898,,,
warmup_unmeasured,8320,3832.742823340778,0.0,0.0,0.03339644894003868,,,
warmup_unmeasured,8448,3825.6176843307503,0.0,0.0,0.033458649180829525,,,
warmup_unmeasured,8576,3821.060664957194,0.0,0.0,0.03349855216220021,,,
warmup_unmeasured,8704,3838.467689904636,0.0,0.0,0.033346639946103096,,,
warmup_unmeasured,8832,3848.325901701349,0.0,0.0,0.03326121624559164,,,
warmup_unmeasured,8960,3855.9128729876784,0.0,0.0,0.03319577081128955,,,
warmup_unmeasured,9088,3844.6382677937663,0.0,0.0,0.03329311916604638,,,
warmup_unmeasured,9216,3819.1078325554663,0.0,0.0,0.03351568104699254,,,
warmup_unmeasured,9344,3847.804442472996,0.0,0.0,0.03326572384685278,,,
warmup_unmeasured,9472,3830.9734940970043,0.0,0.0,0.033411873038858175,,,
warmup_unmeasured,9600,3854.997405822796,0.0,0.0,0.03320365399122238,,,
warmup_unmeasured,9728,3818.51675977382,0.0,0.0,0.033520868979394436,,,
warmup_unmeasured,9856,3812.1258219681526,0.0,0.0,0.03357706591486931,,,
warmup_unmeasured,9984,3831.596416303779,0.0,0.0,0.03340644109994173,,,
