phase,env_steps,env_steps_per_second,train_updates_per_second,samples_per_second,total_train_step_time,component_seconds,latest_update_seconds,latest_sample_seconds
warmup_unmeasured,3008,1910.7036667758591,0.0,0.0,0.03349551325663924,,,
warmup_unmeasured,3072,1923.2677961314455,0.0,0.0,0.033276697155088186,,,
warmup_unmeasured,3136,1924.6033618668503,0.0,0.0,0.033253605011850595,,,
warmup_unmeasured,3200,1920.7443135424307,0.0,0.0,0.03332041623070836,,,
warmup_unmeasured,3264,1915.6328928658954,0.0,0.0,0.03340932400897145,,,
warmup_unmeasured,3328,1922.7986204542337,0.0,0.0,0.03328481689095497,,,
warmup_unmeasured,3392,1916.6941731760596,0.0,0.0,0.033390825148671865,,,
warmup_unmeasured,3456,1919.8342073087515,0.0,0.0,0.033336211927235126,,,
warmup_unmeasured,3520,1915.9600263346138,0.0,0.0,0.03340361965820193,,,
warmup_unmeasured,3584,1916.5616559609252,0.0,0.0,0.03339313389733434,,,
warmup_unmeasured,3648,1917.8544675904616,0.0,0.0,0.03337062383070588,,,
warmup_unmeasured,3712,1919.883096779929,0.0,0.0,0.033335363026708364,,,
warmup_unmeasured,3776,1914.5518775977991,0.0,0.0,0.03342818794772029,,,
warmup_unmeasured,3840,1544.141989431108,0.0,0.0,0.0414469656534493,,,
warmup_unmeasured,3904,1807.4153682158826,0.0,0.0,0.0354096801020205,,,
warmup_unmeasured,3968,1805.1658696854706,0.0,0.0,0.035453805699944496,,,
warmup_unmeasured,4032,1912.6963993577945,0.0,0.0,0.03346061613410711,,,
warmup_unmeasured,4096,1913.9535078993658,0.0,0.0,0.03343863878399134,,,
warmup_unmeasured,4160,1917.225709082135,0.0,0.0,0.03338156780228019,,,
warmup_unmeasured,4224,1925.2971923086482,0.0,0.0,0.03324162121862173,,,
warmup_unmeasured,4288,1916.4216213772659,0.0,0.0,0.03339557396247983,,,
warmup_unmeasured,4352,1925.738473532384,0.0,0.0,0.03323400393128395,,,
warmup_unmeasured,4416,1941.0038169176012,0.0,0.0,0.03297262964770198,,,
warmup_unmeasured,4480,1922.5506313103408,0.0,0.0,0.03328911028802395,,,
warmup_unmeasured,4544,1939.2476312644937,0.0,0.0,0.0330024897120893,,,
warmup_unmeasured,4608,1903.1092016362875,0.0,0.0,0.03362917900085449,,,
warmup_unmeasured,4672,1924.982581282077,0.0,0.0,0.03324705408886075,,,
warmup_unmeasured,4736,1935.4167940959537,0.0,0.0,0.03306781267747283,,,
warmup_unmeasured,4800,1928.8541483668673,0.0,0.0,0.03318032110109925,,,
warmup_unmeasured,4864,1934.8844954556687,0.0,0.0,0.033076909836381674,,,
warmup_unmeasured,4928,1926.469360332592,0.0,0.0,0.03322139522060752,,,
warmup_unmeasured,4992,1935.6206524184147,0.0,0.0,0.033064329996705055,,,
warmup_unmeasured,5056,1936.9416061212783,0.0,0.0,0.033041780814528465,,,
warmup_unmeasured,5120,1930.2526796679856,0.0,0.0,0.0331562808714807,,,
warmup_unmeasured,5184,1924.3356692543605,0.0,0.0,0.03325823089107871,,,
warmup_unmeasured,5248,1921.4897345055292,0.0,0.0,0.033307489939033985,,,
warmup_unmeasured,5312,1931.564549854055,0.0,0.0,0.03313376195728779,,,
warmup_unmeasured,5376,1932.4123710540082,0.0,0.0,0.033119224943220615,,,
